Lat,Lon,Lat_Lon,County FIPS,County Name,Block FIPS,Block bbox,Block intersection FIPF1,Block intersection FIPF2
41.015186,-73.75573,"(41.015186, -73.75573)",36119,Westchester,361190097021000,"[-73.757106, 41.01381, -73.746124, 41.021412]",,
42.914642,-78.784241,"(42.914642, -78.784241)",36029,Erie,360290107002017,"[-78.784337, 42.913116, -78.771199, 42.917443]",360290107002017,360290105002007
42.508575,-78.659103,"(42.508575, -78.659103)",36029,Erie,360290159001014,"[-78.661108, 42.508456, -78.656049, 42.51267]",360290159001014,360290159002004
42.920331,-78.867515,"(42.920331, -78.867515)",36029,Erie,360290169003003,"[-78.869173, 42.915376, -78.86518, 42.920613]",,
43.026154,-78.862457,"(43.026154, -78.862457)",36063,Niagara,360630232001019,"[-78.863917, 43.023505, -78.861024, 43.02654]",360630232001019,360630232001011
43.223637,-78.397141,"(43.223637, -78.397141)",36073,Orleans,360730404003005,"[-78.398862, 43.220438, -78.39521, 43.225328]",360730404003005,360730404003013
40.617954,-73.94323,"(40.617954, -73.94323)",36047,Kings,360470746002003,"[-73.943591, 40.617678, -73.942416, 40.619918]",360470746002003,360470746002004
40.879513,-73.417442,"(40.879513, -73.417442)",36103,Suffolk,361031103003002,"[-73.417872, 40.877864, -73.412322, 40.880889]",361031103003002,361031103003003
43.00404,-78.177475,"(43.00404, -78.177475)",36037,Genesee,360379508002004,"[-78.177585, 43.003821, -78.175914, 43.005741]",360379508002004,360379508002006
43.28714,-78.707054,"(43.28714, -78.707054)",36063,Niagara,360630242011006,"[-78.711267, 43.286522, -78.706979, 43.288275]",360630242011006,360630242011008
44.692039,-75.499908,"(44.692039, -75.499908)",36089,St. Lawrence,360894916003028,"[-75.500649, 44.69087, -75.498821, 44.692252]",360894916003028,360894916003025
43.176472,-78.670998,"(43.176472, -78.670998)",36063,Niagara,360630238003009,"[-78.673582, 43.175885, -78.669517, 43.178714]",360630238003009,360630239021011
41.384766,-73.664413,"(41.384766, -73.664413)",36079,Putnam,360790116003000,"[-73.66571, 41.366741, -73.657414, 41.389305]",360790116003000,360790116003004
44.338207,-75.474411,"(44.338207, -75.474411)",36089,St. Lawrence,360894927004016,"[-75.47498, 44.337652, -75.473975, 44.338316]",360894927004016,360894927002007
40.879951,-73.880562,"(40.879951, -73.880562)",36005,Bronx,360050421001000,"[-73.881756, 40.87958, -73.878487, 40.88222]",360050421001000,360050419001002
